loc,alpha,k,clip_factor,feature_set,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0005,0.8,2.0,12,means,2,kmeans,0.5811167068680547,0.0059144722497708625,0.0031135899240234714,0.00100710432020962,0.32345438698883333,7.988933020004186,0.2,
0.0005,0.8,2.0,12,all,19,kmeans,0.5002798293166427,0.005925724403603074,0.0031517073906704627,0.001000870105897291,0.3175644125022583,7.7184791685288,2.9,
0.0005,0.8,2.0,12,means,5,kmeans,0.5869310260582669,0.005906508628384514,0.003133298349701783,0.0009953204667073048,0.3176590147574157,7.779416759547715,0.3,
0.0005,0.8,2.0,12,means,3,kmeans,0.5921939303754777,0.0058773957303012445,0.003139740258514681,0.0009835875271735717,0.3132703491972543,7.714558705150674,0.6,
0.0005,0.8,2.0,12,all,14,kmeans,0.5118804094414704,0.005869015284999477,0.0031464888290485813,0.0009676996983643369,0.3075490653043077,7.670614424942807,4.9,
0.0005,0.8,2.0,12,means,4,kmeans,0.5895174550023476,0.005868430306057278,0.003106681268494147,0.0010262789498870608,0.3303457487882279,7.8692995868812385,0.5,
0.0005,0.8,2.0,12,means,6,kmeans,0.5899512044013323,0.00586770952698956,0.0031485693808783115,0.0010036324161914521,0.318758234227471,7.673146711980868,0.2,
0.0005,0.8,2.0,12,means,7,kmeans,0.5845669901474659,0.005867789851356622,0.003124831468775709,0.0009903627010346668,0.31693315653361787,7.664685141200927,0.2,
0.0005,0.8,2.0,12,means,12,kmeans,0.5798440069704852,0.005875805353138825,0.0031276963581015156,0.0009988285030278227,0.31934957510840434,7.739132914340017,0.2,
0.0005,0.8,2.0,12,means,15,kmeans,0.5777323567725965,0.0058701670602995925,0.0031332180778696184,0.0009801500528574683,0.31282535351765417,7.795696978971282,0.2,
0.0005,0.8,2.0,12,means,17,kmeans,0.5996953453240517,0.005893541874180625,0.0031504982558604026,0.0010271252010547623,0.32601992371973365,7.732033991921266,0.2,
0.0005,0.8,2.0,12,means,14,kmeans,0.599497238123079,0.005869015284999477,0.0031464888290485813,0.0009676996983643369,0.3075490653043077,7.670614424942807,0.2,
0.0005,0.8,2.0,12,means,8,kmeans,0.602381673887886,0.005814515368503284,0.0031275396695400253,0.0010005242279969198,0.31990776575635543,7.771220626116909,0.2,
0.0005,0.8,2.0,12,means,11,kmeans,0.5992123210699183,0.005924932613874491,0.0031412109504107733,0.0009934462866523813,0.31626220025830143,7.776417905673144,0.2,
0.0005,0.8,2.0,12,means,16,kmeans,0.5862195724528385,0.0058399064530315885,0.0031144575264188544,0.0009846133838046103,0.3161428195608639,7.506479101741805,0.2,
0.0005,0.8,2.0,12,means,19,kmeans,0.6058367585493869,0.005925724403603074,0.0031517073906704627,0.001000870105897291,0.3175644125022583,7.7184791685288,0.2,
0.0005,0.8,2.0,12,means,18,kmeans,0.5790521772609722,0.0058690457806018425,0.003126634008886791,0.0009730241520785873,0.3112050049071856,7.840814976150929,0.2,
0.0005,0.8,2.0,12,means,13,kmeans,0.5940142629467318,0.00591504119940016,0.0031254586748463886,0.0009813467754860104,0.3139848827258105,7.748375426250959,0.2,
0.0005,0.8,2.0,12,means_x,0,kmeans,0.5904068702796617,0.005883856672153753,0.003121938947020723,0.0010098300002390705,0.3234624434929308,7.780898859752456,0.2,
0.0005,0.8,2.0,12,means_x,3,kmeans,0.5926595456652283,0.0058773957303012445,0.003139740258514681,0.0009835875271735717,0.3132703491972543,7.714558705150674,0.2,
0.0005,0.8,2.0,12,means_x,1,kmeans,0.5937584077699398,0.005839667175857782,0.003117996462274848,0.0009644079931346733,0.3093037483535354,7.738065428095107,0.2,
0.0005,0.8,2.0,12,means_x,2,kmeans,0.582604519733841,0.0059144722497708625,0.0031135899240234714,0.00100710432020962,0.32345438698883333,7.988933020004186,0.2,
0.0005,0.8,2.0,12,means_x,4,kmeans,0.5899874402445048,0.005868430306057278,0.003106681268494147,0.0010262789498870608,0.3303457487882279,7.8692995868812385,0.2,
0.0005,0.8,2.0,12,means_x,6,kmeans,0.5905996309608842,0.00586770952698956,0.0031485693808783115,0.0010036324161914521,0.318758234227471,7.673146711980868,0.2,
0.0005,0.8,2.0,12,means_x,5,kmeans,0.5889645167363735,0.005906508628384514,0.003133298349701783,0.0009953204667073048,0.3176590147574157,7.779416759547715,0.2,
0.0005,0.8,2.0,12,means_x,7,kmeans,0.587169740716551,0.005867789851356622,0.003124831468775709,0.0009903627010346668,0.31693315653361787,7.664685141200927,0.2,
0.0005,0.8,2.0,12,means_x,9,kmeans,0.5950774156513216,0.005897682999790163,0.0031401847719224408,0.0009844511580105733,0.3135010292429022,7.7027924666922445,0.2,
